datetime,score,duration,level
2025-09-17 00:55:50,0,0.1,1
2025-09-17 00:57:50,0,0.1,1
2025-09-17 00:58:07,0,0.33,1
2025-09-17 01:00:19,5,8.57,2
2025-09-17 01:01:11,24,40.97,5
2025-09-17 01:07:21,0,1.49,1
2025-09-17 01:07:49,22,24.18,5
2025-09-17 01:20:02,15,22.56,4
2025-09-17 01:25:52,18,38.95,4
